#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_CIVIL_WAR;Civil War;;;;;;;;;;;;;x
WAR_NAME_CIVIL_WAR;$ORDER$$SECOND_ADJ$ Civil War;;;;;;;;;;;;;x
plot_coup_title;Seize Control of the [This.GetFullName];;;;;;;;;;;;;x
plot_coup_desc;[From.GetFullName] and [From.GetHerHis] conspirators believe that [This.Holder.GetFullName] can no longer be permitted to remain [This.GetTitle] of the [This.GetFullName], and intend to take drastic measures to remove [This.Holder.GetHerHim] by any means necessary. A coup would currently be considered unjustified.;;;;;;;;;;;;;x
plot_justified_coup_title;Depose [This.Holder.GetTitle] [This.Holder.GetFullName];;;;;;;;;;;;;x
plot_justified_coup_desc;[From.GetFullName] and [From.GetHerHis] conspirators believe that [This.Holder.GetFullName] can no longer be permitted to remain [This.GetTitle] of the [This.GetFullName], and intend to take drastic measures to remove [This.Holder.GetHerHim] by any means necessary. A coup would currently be considered justified.;;;;;;;;;;;;;x
OP_ROOT;Operation [Root.Religion.GetRandomEvilGodName];;;;;;;;;;;;;x
OP_FROM;Operation [From.Religion.GetRandomEvilGodName];;;;;;;;;;;;;x
OP_FROMFROM;Operation [FromFrom.Religion.GetRandomEvilGodName];;;;;;;;;;;;;x
launch_coup_decision;Send Ultimatum;;;;;;;;;;;;;x
launch_coup_decision_desc;Send an ultimatum to [Root.PlotTarget.GetFullName], threatening civil war unless [Root.PlotTarget.GetSheHe] hands you control of the state.;;;;;;;;;;;;;x
EVTDESCCOUP0;TO: [Root.GetFullName]\nFROM: [FROM.GetFullName]\nRE: New management\nIt's time we brought this farce to a close. You are no longer fit to serve as [Root.GetTitle]. We demand that you tender your immediate resignation. If you've any love left for the people you've betrayed, you'll stand down, and spare them death at the hands of your butchers.;;;;;;;;;;;;;x
EVTTOOLTIPCOUP20;and [This.GetHerHis] supporters might start a civil war!;;;;;;;;;;;;;x
EVTTOOLTIPBACKSCOUP;is a known supporter of [From.GetOnlyDynastyName].;;;;;;;;;;;;;x
EVTDESCCOUP10;TO: [Root.GetFullName]\nFROM: [From.GetFullName]\nRE: New management\nYou win, you snake. For the sake of peace, I hereby surrender the [From.PrimaryTitle.GetFullName] to you. May its people forgive me.;;;;;;;;;;;;;x
EVTDESCCOUP11;'Breaking news from the [From.Location.GetName] System tonight, as sources claim that [From.GetFullName] has unexpectedly resigned. [From.GetSheHeCap] explicitly named [From.GetHerHis] longstanding rival, [FromFrom.GetFullName] as acting leader of the new government, amidst accusations of foul play...';;;;;;;;;;;;;x
EVTDESCCOUP12;It appears that your plot has succeeded beyond your wildest dreams. [FromFrom.GetFullName] has resigned from office and surrendered to [From.GetFullName], and all without firing a shot.;;;;;;;;;;;;;x
EVTDESCCOUP20;TO: [Root.GetFullName]\nFROM: [From.GetFullName]\nRE: New management\nNever! Even if you tear [From.PrimaryTitle.GetName] asunder, you'll never be able to do as much damage to my people with missiles as you could with my title. You and your followers are traitors, and will be dealt with as such.;;;;;;;;;;;;;x
EVTOPTACOUP20;...damn, I was really hoping that would work.;;;;;;;;;;;;;x
