#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COUNCILLORS;Ministers;Conseillers;Ratsmitglieder;;Consejeros;;;;;;;;;x
COURT_MENU;Cabinet;Conseil;Rat;;Consejo;;;;;;;;;x
PATRIARCHATE_TITLE;Jurisdiction of;;;;;;;;;;;;;x
AUTCEPHALOUS PATRIARCHS;National Administrations;;;;;;;;;;;;;x
AUTOCEPHALOUS_REL_HEAD_TITLE;Chief Administrator;;;;;;;;;;;;;x
emperor;Captain-General;Capitaine-Général;;;;;;;;;;;;x
emperor_female;Captain-General;Capitaine-Général;;;;;;;;;;;;x
emperor_foa;Captain-General;Capitaine-Général;;;;;;;;;;;;x
emperor_foa_female;Captain-General;Capitaine-Général;;;;;;;;;;;;x
emperor_title_ruler_consort;First Man;Epoux;;;;;;;;;;;;x
emperor_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
empire_of;Confederation of;Confédération de;;;;;;;;;;;;x
empire;Confederation;Confédération;;;;;;;;;;;;x
empires;Confederations;Confédérations;;;;;;;;;;;;x
king;Grand Admiral;Grand amiral;;;;;;;;;;;;x
king_female;Grand Admiral;Grande amirale;;;;;;;;;;;;x
king_foa;Admiral;Amiral;;;;;;;;;;;;x
king_foa_female;Admiral;Amirale;;;;;;;;;;;;x
king_title_ruler_consort;First Man;Epoux;;;;;;;;;;;;x
king_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
kingdom_of;Republic of;République de;;;;;;;;;;;;x
kingdom;Republic;République;;;;;;;;;;;;x
kingdoms;Republics;Républiques;;;;;;;;;;;;x
duke;Fleet Admiral;Amiral de flotte;;;;;;;;;;;;x
duke_female;Fleet Admiral;Amirale de flotte;;;;;;;;;;;;x
duke_foa;Admiral;Amiral;;;;;;;;;;;;x
duke_foa_female;Admiral;Amirale;;;;;;;;;;;;x
duke_title_ruler_consort;Admiral's Husband;Epoux;;;;;;;;;;;;x
duke_title_ruler_consort_female;Admiral's Wife;Dame;;;;;;;;;;;;x
duchy_of;Sector;Secteur;;;;;;;;;;;;x
duchy;Sector;Secteur;;;;;;;;;;;;x
duchies;Sectors;Secteurs;;;;;;;;;;;;x
count;Commander;Commandant;;;;;;;;;;;;x
count_female;Commander;Commandante;;;;;;;;;;;;x
count_foa;Commander;Commandant;;;;;;;;;;;;x
count_foa_female;Commander;Commandante;;;;;;;;;;;;x
count_title_ruler_consort;Commander's Husband;Epoux;;;;;;;;;;;;x
count_title_ruler_consort_female;Commander's Wife;Dame;;;;;;;;;;;;x
county_of;Star System;Système stellaire;;;;;;;;;;;;x
county;System;Système;;;;;;;;;;;;x
