#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCFACTIONNAMES0;Due to changes in ideology and its form of government, the [e_terran_confederation.GetName] has been renamed the Terran Confederation.;En raison de changements idéologiques et gouvernementaux, le [e_terran_confederation.GetName] a été rennomé Confédération Terrienne.;;;;;;;;;;;;x
EVTDESCFACTIONNAMES1;Due to changes in ideology and its form of government, the Terran state has been renamed the Terran Confederation.;En raison de changements idéologiques et gouvernementaux, l'état terrien a été rennomé Confédération Terrienne.;;;;;;;;;;;;x
EVTDESCFACTIONNAMES2;You have decreed that the [e_terran_confederation.GetName] be renamed the Terran Empire.;Vous avez décrêté que [e_terran_confederation.GetName] serait rennomé Empire terrien.;;;;;;;;;;;;x
EVTDESCFACTIONNAMES3;By decree of [From.GetTitle] [From.GetFullName], the Terran state has been renamed the Terran Empire.;Par décrêt de [From.GetTitle] [From.GetFullName], l'état terrien a été rennomé Empire terrien.;;;;;;;;;;;;x
EVTDESCFACTIONNAMES4;You have decreed that the [e_terran_confederation.GetName] be renamed the Terran Hegemony.;Vous avez décrêté que [e_terran_confederation.GetName] serait rennomé Hégémonie terrienne.;;;;;;;;;;;;x
EVTDESCFACTIONNAMES5;By decree of [From.GetTitle] [From.GetFullName], the Terran state has been renamed the Terran Hegemony.;Par décrêt de [From.GetTitle] [From.GetFullName], l'état terrien a été rennomé Hégémonie terrienne.;;;;;;;;;;;;x
EVTDESCFACTIONNAMES6;Due to changes in ideology and its form of government, the [e_terran_confederation.GetName] has been renamed the Terran Republic.;En raison de changements idéologiques et gouvernementaux, le [e_terran_confederation.GetName] a été rennomé République terrienne.;;;;;;;;;;;;x
EVTDESCFACTIONNAMES7;Due to changes in ideology and its form of government, the Terran state has been renamed the Terran Republic.;En raison de changements idéologiques et gouvernementaux, l'état terrien a été rennomé République terrienne.;;;;;;;;;;;;x
EVTDESCFACTIONNAMES8;Due to changes in ideology and its form of government, the [e_terran_confederation.GetName] has been renamed the Terran Directorate.;En raison de changements idéologiques et gouvernementaux, le [e_terran_confederation.GetName] a été rennomé Directorat terrien;;;;;;;;;;;;x
EVTDESCFACTIONNAMES9;Due to changes in ideology and its form of government, the Terran state has been renamed the Terran Directorate.;En raison de changements idéologiques et gouvernementaux, l'état terrien a été rennomé Directorat terrien.;;;;;;;;;;;;x
